filter,Date,project,key,issuetype,status,customfield_58100,customfield_60501
preALP,2021-01-01,Aurea Process,SBM-70475,Defect,Release pending,11.0,"SBM-66687,SBM-66688,SBM-66689,SBM-69728,SBM-69729,SBM-69730,SBM-69731,SBM-69916,SBM-70370,SBM-70394,SBM-70554"
preALP,2021-01-01,Aurea Process,SBM-70473,Defect,Release pending,2.0,"SBM-70432,SBM-70511"
preALP,2021-01-01,Aurea Process,SBM-70439,Defect,Release pending,1.0,SBM-70472
preALP,2021-01-01,Aurea Process,SBM-70437,Defect,Release pending,3.0,"SBM-57753,SBM-60827,SBM-70458"
preALP,2021-01-01,Aurea Process,SBM-70359,Defect,Release pending,10.0,"SBM-66687,SBM-66688,SBM-66689,SBM-69728,SBM-69729,SBM-69730,SBM-69731,SBM-69916,SBM-70370,SBM-70394"
preALP,2021-01-01,Aurea Process,SBM-69885,Defect,Release pending,1.0,SBM-60112
preALP,2021-01-01,Aurea Process,SBM-69605,Defect,Release pending,10.0,"SBM-66687,SBM-66688,SBM-66689,SBM-69728,SBM-69729,SBM-69730,SBM-69731,SBM-69916,SBM-70370,SBM-70394"
preALP,2021-01-01,Aurea Process,SBM-69452,Defect,Release pending,1.0,SBM-70233
preALP,2021-01-01,Saratoga,SARAT-8726,Defect,Release pending,0.0,
preALP,2021-01-01,ResponseTek,RESPTK-37822,Customer Defect,Release pending,0.0,
preALP,2021-01-01,ResponseTek,RESPTK-35897,Customer Defect,Release pending,2.0,"RESPTK-35342,RESPTK-36135"
preALP,2021-01-01,ResponseTek,RESPTK-34488,Defect,Release pending,0.0,
preALP,2021-01-01,ResponseTek,RESPTK-34471,Customer Defect,Release pending,2.0,"RESPTK-2029,RESPTK-34972"
preALP,2021-01-01,ResponseTek,RESPTK-34400,Defect,Release pending,10.0,"RESPTK-21347,RESPTK-21348,RESPTK-21351,RESPTK-24897,RESPTK-24899,RESPTK-30226,RESPTK-30548,RESPTK-31581,RESPTK-32209,RESPTK-33207"
preALP,2021-01-01,ResponseTek,RESPTK-34387,Customer Defect,Release pending,10.0,"RESPTK-21347,RESPTK-21348,RESPTK-21351,RESPTK-24897,RESPTK-24899,RESPTK-30226,RESPTK-30548,RESPTK-31581,RESPTK-32209,RESPTK-33207"
preALP,2021-01-01,ResponseTek,RESPTK-34384,Customer Defect,Release pending,10.0,"RESPTK-21347,RESPTK-21348,RESPTK-21351,RESPTK-24897,RESPTK-24899,RESPTK-30226,RESPTK-30548,RESPTK-31581,RESPTK-32209,RESPTK-33207"
preALP,2021-01-01,ResponseTek,RESPTK-34060,Defect,Release pending,0.0,
preALP,2021-01-01,ResponseTek,RESPTK-33962,Defect,Release pending,2.0,"RESPTK-25068,RESPTK-28408"
