filter,key,project,issuetype,status,customfield_58100,customfield_60501
preALP,OSCMENT-8784,OneSCM Enterprise,Defect,Release pending,7.0,"OSCMENT-6038,OSCMENT-6623,OSCMENT-6963,OSCMENT-7322,OSCMENT-7326,OSCMENT-7328,OSCMENT-9611"
preALP,OSCMENT-8719,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,OSCMENT-8708,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,OSCMENT-8707,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,OSCMENT-8706,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,OSCMENT-8705,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,OSCMENT-8703,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,OSCMENT-8182,OneSCM Enterprise,Defect,In Code Review,0.0,
preALP,OSCMENT-8103,OneSCM Enterprise,Defect,In Code Review,15.0,"OSCMENT-10441,OSCMENT-10447,OSCMENT-10452,OSCMENT-10577,OSCMENT-10828,OSCMENT-13215,OSCMENT-13396,OSCMENT-14116,OSCMENT-14117,OSCMENT-14118,OSCMENT-52,OSCMENT-54,OSCMENT-9724,OSCMENT-9726,OSCMENT-9728"
preALP,OSCMENT-8100,OneSCM Enterprise,Defect,Release pending,11.0,"OSCMENT-16028,OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
preALP,OSCMENT-7526,OneSCM Enterprise,Defect,Release pending,1.0,OSCMENT-12625
preALP,OSCMENT-7450,OneSCM Enterprise,Defect,In Code Review,0.0,
preALP,OSCMENT-6551,OneSCM Enterprise,Defect,Release pending,1.0,OSCMENT-15148
preALP,OSCMENT-5999,OneSCM Enterprise,Defect,In Code Review,8.0,"OSCMENT-6038,OSCMENT-6623,OSCMENT-6963,OSCMENT-7322,OSCMENT-7326,OSCMENT-7328,OSCMENT-9587,OSCMENT-9611"
preALP,OSCMENT-5997,OneSCM Enterprise,Defect,Release pending,10.0,"OSCMENT-5545,OSCMENT-5546,OSCMENT-5547,OSCMENT-57,OSCMENT-5964,OSCMENT-68,OSCMENT-69,OSCMENT-73,OSCMENT-74,OSCMENT-75"
